PID,cond,axlab,closebound,cbside,sno,FaceLeft,t1int,t1slope,t1bound,t2int,t2slope,t2bound,bshift,AlShift,ZAlShift,t1dist
none_C_act_9,none,C,NA,control,9,1,8.370050652,-0.055800338,150,10.59010575,-0.088276786,119.9647867,-30.03521328,-30.03521328,-1.115177877,NA
none_R_act_1,none,R,NA,control,1,1,-15.39505964,0.10617313,144.9995836,-17.30618288,0.101798398,170.0044722,25.00488863,25.00488863,0.905219048,NA
none_R_act_2,none,R,NA,control,2,2,-290.3978952,2.07427068,140,-8.263606422,0.047308664,174.6742726,34.67427264,34.67427264,1.260160137,NA
none_R_act_3,none,R,NA,control,3,1,-6.835117395,0.050730534,134.7337957,-6.164781368,0.041098542,150,15.26620431,15.26620431,0.547734102,NA
none_R_act_4,none,R,NA,control,4,2,-21.61512276,0.131000588,165.0001959,-370.142293,2.056346072,180,14.99980408,14.99980408,0.537955156,NA
none_R_act_5,none,R,NA,control,5,1,-30.22759236,0.167930979,180.0000964,-3.624630682,0.023198814,156.2420691,-23.75802733,-23.75802733,-0.884756661,NA
none_R_act_6,none,R,NA,control,6,2,-11.93766339,0.079584423,150,-7.237973836,0.046660391,155.1203003,5.120300331,5.120300331,0.175301049,NA
none_R_act_7,none,R,NA,control,7,1,-29.35351506,0.189377516,155.0000002,-15.39505964,0.10617313,144.9995836,-10.00041657,-10.00041657,-0.379746069,NA
none_R_act_8,none,R,NA,control,8,2,-15.06043467,0.088583587,170.0138274,-11.37092765,0.066851957,170.0911709,0.077343483,0.077343483,-0.009814424,NA
none_R_act_9,none,R,NA,control,9,1,-15.09597459,0.091487123,165.0065511,-830.5001102,4.051358275,204.9930058,39.98645463,39.98645463,1.455158253,NA
none_R_act_10,none,R,NA,control,10,2,-28.54961494,0.167938894,170.000018,-758.493767,4.100055217,184.9959883,14.99597036,14.99597036,0.537814429,NA
